Sample	No_rec_fused_gene
BS_7XRN3CFX	1
BS_7Z93ZYMS	1
BS_81SP2HX4	1
BS_84XCR9GG	1
BS_850BAHH9	1
BS_85FRR415	1
BS_86Q14TZG	1
BS_893A91ZM	1
BS_89M3B9GR	1
BS_8D0NYM46	1
BS_8F9BDWY4	1
BS_8J3B6ZB6	1
BS_8MSZR1JN	1
BS_8NY9J9NQ	1
BS_8PNA0V6R	1
BS_8PZ0551M	1
BS_8Q77HZ4R	1
BS_8QB4S4VA	1
BS_8RCR7Y4B	1
BS_8RHPJ740	1
BS_8S86CM61	1
BS_8SKZ7BRN	1
BS_8VAZSJEN	1
BS_8WPNFT03	1
BS_8Z3SCKB5	1
BS_8ZP3CBQA	1
BS_8ZS9F31R	1
BS_8ZY4GST0	1
BS_90B22NGP	1
BS_912NX4Y0	1
BS_92VDQ0NE	1
BS_94MT16N2	1
BS_97M1E2DW	1
BS_996ZS2A4	1
BS_9BJARSX3	1
BS_9CA93S6D	1
BS_9E7YVFJM	1
BS_9F09XV62	1
BS_9FHSNVS0	1
BS_9G69F50J	1
BS_9GJ23RHH	1
BS_9HA238XS	1
BS_9HSGV9TJ	1
BS_9M5XJ10G	1
BS_9NJHQE9F	1
BS_9NZ2D6AD	1
BS_9P9MB8X8	1
BS_9PB3XH5D	1
BS_9Q6Z6VJC	1
BS_9RT63JD9	1
BS_9SJWWYQ4	1
BS_9V633J1X	1
BS_9XVACXP0	1
BS_9XWJ88Q1	1
BS_A0DYVX9J	1
BS_A13BMEF5	1
BS_A14Z8BBK	1
BS_A1VEGWTR	1
BS_A46RDWGM	1
BS_A7MC2KR2	1
BS_A87NPZAP	1
BS_A89VAPVV	1
BS_AA164D3A	1
BS_AD4JPN9Q	1
BS_AG3D3435	1
BS_AG4H9S3J	1
BS_AGS1HHGF	1
BS_AHEFXG7W	1
BS_AJ58F1W6	1
BS_AJ6X83G5	1
BS_AKRHBPNZ	1
BS_AM70R8RG	1
BS_AMQGM1V9	1
BS_AMZ70B6F	1
BS_AP0SZ364	1
BS_ARBQDTT5	1
BS_ARFQ1WG3	1
BS_AVYNZHSB	1
BS_AWH9757B	1
BS_AZMPSWJR	1
BS_AZN38B7V	1
BS_B0SVFK4P	1
BS_B1C6GZ84	1
BS_B1HVNV0T	1
BS_B24PKKQB	1
BS_B3M5SGPA	1
BS_B53Z0T1Q	1
BS_B61168DE	1
BS_B6M763JS	1
BS_B741RZY9	1
BS_B7GEH89C	1
BS_B7QS4DHK	1
BS_B7X8VXQ3	1
BS_B8T7M0WV	1
BS_B9V8RGTA	1
BS_BA6AZWB3	1
BS_BC936YNZ	1
BS_BCQAWSRN	1
BS_BJDNWMJH	1
BS_BKQZ550R	1
BS_BKR4E30C	1
BS_BMMA05FW	1
BS_BMMY0H73	1
BS_BN986DF6	1
BS_BPSTSCBJ	1
BS_BPWEFR89	1
BS_BSV07M7Z	1
BS_BVSW4GTG	1
BS_BXXJ9P8C	1
BS_BYCX6VK1	1
BS_C05FKR8X	1
BS_C0AY0XC5	1
BS_C3P5BC92	1
BS_C41DJZ1F	1
BS_C4TT4XS0	1
BS_C51RB0YR	1
BS_C6SKJG3N	1
BS_C6ZZ3FY5	1
BS_C7A2TYAC	1
BS_C7N3J4NW	1
BS_C80S5N37	1
BS_C83TK159	1
BS_C97AE5XA	1
BS_CB6VK7PB	1
BS_CGB2WS2A	1
BS_CHDGRYHJ	1
BS_CMM1Q934	1
BS_CQEETJ66	1
BS_CQSAJ7BF	1
BS_CREQ97QC	1
BS_CS170P7T	1
BS_CTR5X93B	1
BS_CVGFNCBJ	1
BS_CW9QV8AG	1
BS_CXVJK2FY	1
BS_CYEY58NY	1
BS_CZ3ER8DY	1
BS_CZ3NA7KV	1
BS_CZ82ANWP	1
BS_D0BGESQF	1
BS_D0RDN4K5	1
BS_D144EJRQ	1
BS_D1MBABN6	1
BS_D2K9C7XR	1
BS_D3YBV7KB	1
BS_D4PJYHZ2	1
BS_D5NQV7N5	1
BS_D5P6EZ1M	1
